County, State, FIPS Code, Total Pop, Median Income ($), No. of Housing Units, Median Home Value ($), No. of Owner Occupied Housing Units, No. of Owner Occ. Housing Units with Debt, No. of Owner Occ. Housing Units without Debt
Polk County, Texas, 48373, 46113, 39662, 23624, 81500, 13758, 4985, 8773
Potter County, Texas, 48375, 122352, 38159, 48557, 88200, 24977, 13476, 11501
Presidio County, Texas, 48377, 7304, 32132, 3952, 59400, 1803, 502, 1301
Rains County, Texas, 48379, 11037, 48448, 5282, 98400, 3401, 1508, 1893
Randall County, Texas, 48381, 126782, 60972, 52988, 149000, 33535, 20961, 12574
Reagan County, Texas, 48383, 3598, 52181, 1419, 82900, 836, 243, 593
Real County, Texas, 48385, 3356, 36523, 2725, 109800, 967, 176, 791
Red River County, Texas, 48387, 12567, 31563, 6848, 69200, 3734, 1295, 2439
Reeves County, Texas, 48389, 14179, 43540, 4631, 44600, 2763, 576, 2187
Refugio County, Texas, 48391, 7277, 44240, 3727, 74500, 2035, 648, 1387
Roberts County, Texas, 48393, 931, 63889, 404, 109300, 296, 99, 197
Robertson County, Texas, 48395, 16532, 46501, 8507, 92600, 4315, 1767, 2548
Rockwall County, Texas, 48397, 85536, 87524, 30038, 193300, 22875, 17306, 5569
Runnels County, Texas, 48399, 10445, 41526, 5268, 70000, 2814, 858, 1956
Rusk County, Texas, 48401, 53457, 46173, 21281, 101400, 13271, 5870, 7401
Sabine County, Texas, 48403, 10440, 31307, 8008, 84500, 3389, 837, 2552
San Augustine County, Texas, 48405, 8695, 28275, 5348, 79000, 2319, 460, 1859
San Jacinto County, Texas, 48407, 27023, 43029, 13136, 87800, 8000, 3364, 4636
San Patricio County, Texas, 48409, 66070, 52261, 26880, 95000, 15315, 7323, 7992
San Saba County, Texas, 48411, 5893, 39040, 3172, 72700, 1573, 498, 1075
Schleicher County, Texas, 48413, 3224, 55543, 1492, 79200, 806, 256, 550
Scurry County, Texas, 48415, 17238, 56842, 7137, 89100, 4422, 1812, 2610
Shackelford County, Texas, 48417, 3352, 48750, 1757, 79000, 1060, 320, 740
Shelby County, Texas, 48419, 25725, 37756, 11902, 75100, 6806, 2770, 4036
Sherman County, Texas, 48421, 3066, 51987, 1279, 79700, 777, 280, 497
Smith County, Texas, 48423, 217552, 46929, 88145, 130600, 51618, 27998, 23620
Somervell County, Texas, 48425, 8608, 51912, 3710, 139800, 2318, 1217, 1101
Starr County, Texas, 48427, 62648, 26172, 19590, 65100, 12138, 2871, 9267
Stephens County, Texas, 48429, 9452, 43951, 4925, 83900, 2645, 907, 1738
Sterling County, Texas, 48431, 1346, 53456, 597, 86300, 341, 97, 244
Stonewall County, Texas, 48433, 1414, 42155, 917, 49700, 469, 98, 371
Sutton County, Texas, 48435, 3966, 51667, 2027, 88200, 955, 432, 523
Swisher County, Texas, 48437, 7713, 37040, 3217, 67200, 1901, 757, 1144
Tarrant County, Texas, 48439, 1914526, 58711, 732985, 141000, 410486, 281930, 128556
Taylor County, Texas, 48441, 134435, 45396, 56492, 101500, 29700, 15777, 13923
Terrell County, Texas, 48443, 921, 31111, 814, 64200, 309, 87, 222
Terry County, Texas, 48445, 12687, 37475, 4868, 64200, 2916, 1025, 1891
Throckmorton County, Texas, 48447, 1545, 41042, 1048, 64400, 504, 89, 415
Titus County, Texas, 48449, 32553, 44178, 12070, 97500, 7088, 3539, 3549
Tom Green County, Texas, 48451, 115056, 46711, 47367, 108600, 26465, 13952, 12513
Travis County, Texas, 48453, 1121645, 61451, 464197, 237100, 221425, 156863, 64562
Trinity County, Texas, 48455, 14405, 34295, 8733, 81000, 4306, 1240, 3066
Tyler County, Texas, 48457, 21462, 41360, 10596, 81600, 6723, 2294, 4429
Upshur County, Texas, 48459, 40096, 46673, 16709, 93700, 10916, 5056, 5860
Upton County, Texas, 48461, 3405, 46131, 1514, 57600, 914, 304, 610
Uvalde County, Texas, 48463, 26952, 38568, 10955, 77000, 6205, 2244, 3961
Val Verde County, Texas, 48465, 48980, 42174, 18738, 92400, 9590, 4634, 4956
Van Zandt County, Texas, 48467, 52736, 44002, 22893, 103400, 14512, 6987, 7525
Victoria County, Texas, 48469, 90099, 51758, 35876, 119300, 21403, 10660, 10743
Walker County, Texas, 48471, 69330, 37666, 24844, 116100, 11439, 5125, 6314
Waller County, Texas, 48473, 45847, 51348, 16035, 144200, 9610, 5045, 4565
Ward County, Texas, 48475, 11225, 51345, 4723, 72200, 2830, 956, 1874
Washington County, Texas, 48477, 34236, 51269, 15667, 152800, 8820, 3682, 5138
Webb County, Texas, 48479, 263251, 38862, 76731, 109500, 43933, 25335, 18598
Wharton County, Texas, 48481, 41264, 45176, 17288, 102300, 9980, 3755, 6225
Wheeler County, Texas, 48483, 5618, 52221, 2709, 84000, 1603, 492, 1111
Wichita County, Texas, 48485, 131957, 45543, 55897, 89700, 29453, 16153, 13300
Wilbarger County, Texas, 48487, 13158, 41630, 6280, 69200, 3411, 1561, 1850
Willacy County, Texas, 48489, 22002, 26495, 7102, 49700, 4298, 1243, 3055
Williamson County, Texas, 48491, 473592, 73750, 172113, 196500, 110795, 82286, 28509
Wilson County, Texas, 48493, 45509, 68100, 16931, 159700, 12931, 7372, 5559
Winkler County, Texas, 48495, 7576, 55756, 3006, 45200, 2084, 514, 1570
Wise County, Texas, 48497, 61243, 56897, 23917, 126900, 16435, 9626, 6809
Wood County, Texas, 48499, 42712, 45686, 20928, 111100, 12849, 5842, 7007
Yoakum County, Texas, 48501, 8213, 56153, 2993, 74600, 1983, 629, 1354
Young County, Texas, 48503, 18329, 44693, 8634, 82000, 5513, 2361, 3152
Zapata County, Texas, 48505, 14308, 32162, 6223, 55200, 3399, 971, 2428
Zavala County, Texas, 48507, 12060, 26672, 4297, 41900, 2459, 521, 1938
Beaver County, Utah, 49001, 6461, 50282, 2927, 150000, 1688, 1000, 688
Box Elder County, Utah, 49003, 50991, 55038, 17910, 167500, 12708, 8690, 4018
Cache County, Utah, 49005, 117449, 50497, 38715, 191900, 23289, 15839, 7450
Carbon County, Utah, 49007, 20927, 46900, 9604, 123900, 5546, 3211, 2335
Daggett County, Utah, 49009, 776, 56750, 1165, 174700, 231, 100, 131
Davis County, Utah, 49011, 323374, 71112, 101756, 225800, 75683, 57380, 18303
Duchesne County, Utah, 49013, 19817, 61133, 9715, 172600, 4990, 2821, 2169
Emery County, Utah, 49015, 10728, 49787, 4483, 132700, 2915, 1645, 1270
Garfield County, Utah, 49017, 5069, 42614, 3794, 156600, 1409, 743, 666
Grand County, Utah, 49019, 9388, 41312, 4995, 224800, 2583, 1280, 1303
Iron County, Utah, 49021, 47139, 43855, 19984, 165900, 9597, 6556, 3041
Juab County, Utah, 49023, 10400, 54761, 3538, 165200, 2552, 1631, 921
Kane County, Utah, 49025, 7202, 50194, 5854, 175300, 2221, 1326, 895
Millard County, Utah, 49027, 12582, 51593, 4943, 138400, 3257, 1738, 1519
Morgan County, Utah, 49029, 10276, 74314, 3200, 266400, 2517, 1760, 757
Piute County, Utah, 49031, 1865, 35980, 916, 140800, 468, 207, 261
Rich County, Utah, 49033, 2292, 50781, 2876, 173500, 506, 295, 211
Salt Lake County, Utah, 49035, 1078958, 62117, 372990, 234700, 233092, 172246, 60846
San Juan County, Utah, 49037, 15152, 41484, 5810, 139400, 3103, 1128, 1975
Sanpete County, Utah, 49039, 28261, 50323, 10501, 164400, 5883, 3517, 2366
Sevier County, Utah, 49041, 20871, 46291, 8495, 149400, 5442, 3278, 2164
Summit County, Utah, 49043, 38521, 91773, 27083, 497300, 10388, 7468, 2920
Tooele County, Utah, 49045, 60893, 63552, 20148, 177700, 14347, 11082, 3265
Uintah County, Utah, 49047, 35721, 66815, 12766, 189400, 8365, 4891, 3474
Utah County, Utah, 49049, 551957, 62180, 155425, 228400, 99369, 75127, 24242
Wasatch County, Utah, 49051, 26661, 66486, 11352, 316800, 5909, 4332, 1577
Washington County, Utah, 49053, 148244, 50774, 61026, 212600, 33647, 20982, 12665
Wayne County, Utah, 49055, 2722, 40645, 1613, 198600, 805, 429, 376
Weber County, Utah, 49057, 238682, 56581, 87515, 168000, 57074, 40880, 16194
Addison County, Vermont, 50001, 36943, 59688, 16891, 237300, 10643, 6973, 3670
Bennington County, Vermont, 50003, 36589, 49573, 20919, 211300, 11243, 6980, 4263
Caledonia County, Vermont, 50005, 31012, 45323, 16022, 162400, 9047, 5250, 3797
Chittenden County, Vermont, 50007, 159711, 65350, 67027, 271300, 41223, 29121, 12102
Essex County, Vermont, 50009, 6207, 36599, 5025, 122800, 2156, 1077, 1079
Franklin County, Vermont, 50011, 48418, 58199, 21886, 203000, 13857, 9528, 4329
Grand Isle County, Vermont, 50013, 6952, 62608, 5096, 261300, 2354, 1560, 794
Lamoille County, Vermont, 50015, 25027, 50939, 13122, 220700, 7360, 4742, 2618
Orange County, Vermont, 50017, 28929, 53869, 14889, 189400, 9691, 6095, 3596
Orleans County, Vermont, 50019, 27146, 42831, 16486, 154100, 8789, 4837, 3952
Rutland County, Vermont, 50021, 60530, 49372, 33742, 178500, 17838, 10895, 6943
Washington County, Vermont, 50023, 59132, 58788, 30076, 211200, 18046, 11645, 6401
Windham County, Vermont, 50025, 43858, 51045, 29861, 209200, 13188, 8117, 5071
Windsor County, Vermont, 50027, 56150, 52965, 34132, 216300, 17149, 10398, 6751
Accomack County, Virginia, 51001, 33115, 39412, 21031, 153300, 9919, 4312, 5607
Albemarle County, Virginia, 51003, 103108, 68449, 43579, 313800, 25281, 16568, 8713
Alleghany County, Virginia, 51005, 16066, 45007, 8063, 112000, 5337, 2634, 2703
Amelia County, Virginia, 51007, 12777, 56850, 5414, 170800, 3824, 2543, 1281
Amherst County, Virginia, 51009, 32148, 47558, 14058, 150100, 9534, 5758, 3776
Appomattox County, Virginia, 51011, 15208, 48823, 7051, 148200, 4794, 3030, 1764
Arlington County, Virginia, 51013, 223945, 105763, 109443, 607700, 43697, 34036, 9661
Augusta County, Virginia, 51015, 74053, 54558, 31724, 197400, 22341, 13608, 8733
Bath County, Virginia, 51017, 4583, 43646, 3394, 153700, 1495, 767, 728
Bedford County, Virginia, 51019, 76463, 56316, 35546, 196500, 24850, 15334, 9516
Bland County, Virginia, 51021, 6662, 45294, 3274, 100300, 2089, 822, 1267
Botetourt County, Virginia, 51023, 33155, 60454, 14664, 208500, 11314, 7093, 4221
Brunswick County, Virginia, 51025, 16930, 36919, 8158, 105200, 4319, 2360, 1959
Buchanan County, Virginia, 51027, 23486, 29679, 11489, 71500, 7449, 2200, 5249
Buckingham County, Virginia, 51029, 17068, 40331, 7263, 131800, 4347, 2586, 1761
Campbell County, Virginia, 51031, 55012, 47699, 25100, 151500, 16572, 9901, 6671
Caroline County, Virginia, 51033, 29349, 59227, 11927, 186800, 8855, 6316, 2539
Carroll County, Virginia, 51035, 29856, 35000, 16621, 107900, 9915, 4615, 5300
Charles City County, Virginia, 51036, 7118, 49563, 3303, 159600, 2344, 1321, 1023
Charlotte County, Virginia, 51037, 12313, 35079, 6298, 94300, 3281, 1431, 1850
Chesterfield County, Virginia, 51041, 328176, 72609, 125393, 216800, 89151, 69375, 19776
Clarke County, Virginia, 51043, 14299, 71295, 6261, 329500, 4195, 3082, 1113
Craig County, Virginia, 51045, 5212, 44330, 2955, 153000, 1794, 897, 897
Culpeper County, Virginia, 51047, 48424, 66697, 17989, 251600, 12023, 9170, 2853
Cumberland County, Virginia, 51049, 9859, 39301, 4650, 137800, 2893, 1864, 1029
Dickenson County, Virginia, 51051, 15463, 33624, 7525, 74100, 4805, 1686, 3119
Dinwiddie County, Virginia, 51053, 28110, 51397, 11542, 155300, 7617, 4436, 3181
Essex County, Virginia, 51057, 11151, 42760, 5777, 164400, 3189, 1713, 1476
Fairfax County, Virginia, 51059, 1128722, 112552, 409963, 501200, 265693, 212034, 53659
Fauquier County, Virginia, 51061, 67463, 91609, 26052, 357200, 18674, 13837, 4837
Floyd County, Virginia, 51063, 15523, 48005, 7889, 155300, 4872, 2367, 2505
Fluvanna County, Virginia, 51065, 26014, 63938, 10596, 215600, 8124, 5660, 2464
Franklin County, Virginia, 51067, 56315, 46870, 29419, 168400, 17950, 10409, 7541
Frederick County, Virginia, 51069, 81340, 69098, 32152, 225300, 23010, 16420, 6590
Giles County, Virginia, 51071, 16907, 46390, 8327, 104700, 5499, 2749, 2750
Gloucester County, Virginia, 51073, 37001, 61121, 16066, 224100, 11282, 7783, 3499
Goochland County, Virginia, 51075, 21721, 79330, 8807, 318400, 7088, 4869, 2219
Grayson County, Virginia, 51077, 15573, 29942, 9166, 91500, 5059, 2066, 2993
Greene County, Virginia, 51079, 18938, 61550, 7905, 241800, 5512, 4093, 1419
Greensville County, Virginia, 51081, 11760, 38012, 4122, 99800, 2495, 1225, 1270
Halifax County, Virginia, 51083, 35506, 35240, 18057, 104700, 10344, 4845, 5499
Hanover County, Virginia, 51085, 101340, 78645, 39391, 255400, 30348, 21337, 9011
Henrico County, Virginia, 51087, 318864, 61934, 134346, 216300, 78341, 59062, 19279
Henry County, Virginia, 51089, 52580, 35293, 26144, 95400, 16711, 8370, 8341
Highland County, Virginia, 51091, 2244, 43914, 1918, 169100, 883, 296, 587
Isle of Wight County, Virginia, 51093, 35740, 65741, 15001, 243000, 10749, 7164, 3585
James City County, Virginia, 51095, 70673, 75710, 31392, 319100, 20984, 14223, 6761
King and Queen County, Virginia, 51097, 7106, 48292, 3446, 155800, 2196, 1203, 993
King George County, Virginia, 51099, 24933, 81688, 9706, 282500, 6120, 4408, 1712
King William County, Virginia, 51101, 16097, 62031, 6632, 198500, 4931, 3535, 1396
Lancaster County, Virginia, 51103, 11129, 50374, 7544, 229100, 3874, 1626, 2248
Lee County, Virginia, 51105, 25206, 31086, 11728, 78400, 6906, 2513, 4393
Loudoun County, Virginia, 51107, 351129, 123453, 118919, 452300, 87461, 76441, 11020
Louisa County, Virginia, 51109, 33986, 57829, 16692, 193700, 10204, 6842, 3362
Lunenburg County, Virginia, 51111, 12558, 39506, 5933, 106600, 3326, 1686, 1640
Madison County, Virginia, 51113, 13147, 47736, 5983, 241200, 3635, 2097, 1538
Mathews County, Virginia, 51115, 8880, 63845, 5702, 250900, 3152, 1603, 1549
Mecklenburg County, Virginia, 51117, 31555, 37356, 18661, 125400, 9242, 4578, 4664
Middlesex County, Virginia, 51119, 10717, 54654, 7211, 245800, 3613, 1934, 1679
Montgomery County, Virginia, 51121, 96467, 46663, 39038, 205100, 19093, 11781, 7312
Nelson County, Virginia, 51125, 14858, 47118, 10017, 212000, 4568, 2495, 2073
New Kent County, Virginia, 51127, 19560, 73041, 7736, 245000, 6240, 4489, 1751
Northampton County, Virginia, 51131, 12184, 35055, 7323, 160900, 3614, 1582, 2032
Northumberland County, Virginia, 51133, 12304, 51885, 9096, 242000, 4906, 2677, 2229
Nottoway County, Virginia, 51135, 15711, 36284, 6699, 132900, 3651, 1981, 1670
Orange County, Virginia, 51137, 34596, 65166, 14789, 231200, 9669, 6896, 2773
Page County, Virginia, 51139, 23843, 43895, 11636, 176000, 6596, 3205, 3391
Patrick County, Virginia, 51141, 18264, 33982, 10085, 111100, 5974, 2466, 3508
Pittsylvania County, Virginia, 51143, 62794, 41824, 31366, 111900, 20121, 10741, 9380
Powhatan County, Virginia, 51145, 28207, 77896, 10272, 257300, 8499, 6390, 2109
Prince Edward County, Virginia, 51147, 23022, 41697, 9269, 151500, 4801, 2495, 2306
Prince George County, Virginia, 51149, 37380, 61857, 12192, 207500, 7835, 5156, 2679
Prince William County, Virginia, 51153, 437271, 98657, 142786, 333100, 97744, 83446, 14298
Pulaski County, Virginia, 51155, 34528, 47495, 17256, 135700, 10416, 5572, 4844
Rappahannock County, Virginia, 51157, 7431, 57210, 3936, 367000, 2492, 1357, 1135
Richmond County, Virginia, 51159, 8989, 47288, 3886, 150000, 2138, 1047, 1091
Roanoke County, Virginia, 51161, 93633, 60519, 40439, 189200, 28496, 18141, 10355
Rockbridge County, Virginia, 51163, 22444, 48901, 11231, 188500, 6927, 3646, 3281
Rockingham County, Virginia, 51165, 77785, 53744, 34269, 197300, 22449, 13273, 9176
Russell County, Virginia, 51167, 28245, 35045, 13428, 96000, 8614, 3385, 5229
Scott County, Virginia, 51169, 22570, 37240, 11876, 91900, 7289, 2961, 4328
Shenandoah County, Virginia, 51171, 42724, 49406, 21026, 198900, 12417, 7455, 4962
Smyth County, Virginia, 51173, 31734, 37983, 15356, 88900, 8942, 4227, 4715
Southampton County, Virginia, 51175, 18410, 48962, 7529, 159700, 4656, 2739, 1917
Spotsylvania County, Virginia, 51177, 127691, 78125, 45979, 248300, 32589, 25716, 6873
Stafford County, Virginia, 51179, 137145, 97144, 45759, 305300, 33314, 27558, 5756
Surry County, Virginia, 51181, 6823, 53673, 3497, 169000, 2134, 1287, 847
Sussex County, Virginia, 51183, 11864, 39194, 4007, 140400, 2061, 951, 1110
Tazewell County, Virginia, 51185, 43870, 37664, 20716, 91400, 13438, 5797, 7641
Warren County, Virginia, 51187, 38481, 61454, 16099, 213500, 11020, 8014, 3006
Washington County, Virginia, 51191, 54759, 43310, 25704, 130200, 17273, 9254, 8019
Westmoreland County, Virginia, 51193, 17557, 47911, 10752, 191600, 5179, 2984, 2195
Wise County, Virginia, 51195, 40530, 37407, 17851, 87500, 10627, 5077, 5550
Wythe County, Virginia, 51197, 29190, 41360, 14159, 123900, 8270, 4260, 4010
York County, Virginia, 51199, 66471, 81749, 27150, 312600, 17512, 12661, 4851
Alexandria city, Virginia, 51510, 149315, 89134, 74317, 502500, 28410, 22824, 5586
Bristol city, Virginia, 51520, 17524, 35368, 8841, 114500, 4257, 2184, 2073
Buena Vista city, Virginia, 51530, 6666, 29097, 2920, 115000, 1605, 1005, 600
Charlottesville city, Virginia, 51540, 45084, 49775, 19886, 285300, 7735, 5319, 2416
Chesapeake city, Virginia, 51550, 230601, 68620, 86657, 253800, 57374, 45453, 11921
Colonial Heights city, Virginia, 51570, 17515, 50304, 7808, 169300, 4461, 2824, 1637
Covington city, Virginia, 51580, 5736, 34746, 3035, 68600, 1834, 951, 883
Danville city, Virginia, 51590, 42450, 32315, 22376, 88600, 10013, 5307, 4706
Emporia city, Virginia, 51595, 5672, 28601, 2686, 115000, 1050, 567, 483
Fairfax city, Virginia, 51600, 23402, 105297, 8780, 470300, 5925, 4510, 1415
Falls Church city, Virginia, 51610, 13308, 120522, 5601, 718900, 3031, 2550, 481
Franklin city, Virginia, 51620, 8457, 32399, 3888, 178700, 1648, 1233, 415
Fredericksburg city, Virginia, 51630, 27395, 51762, 11252, 317900, 3473, 2589, 884
Galax city, Virginia, 51640, 6876, 30604, 3514, 91000, 1765, 885, 880
Hampton city, Virginia, 51650, 137081, 49190, 60168, 188000, 30486, 22212, 8274
Harrisonburg city, Virginia, 51660, 51388, 38750, 17942, 199400, 5926, 4216, 1710
Hopewell city, Virginia, 51670, 22279, 39064, 10223, 123800, 4470, 2812, 1658
Lexington city, Virginia, 51678, 7071, 34017, 1911, 242700, 941, 638, 303
Lynchburg city, Virginia, 51680, 78158, 39589, 32252, 149200, 14458, 9503, 4955
Manassas city, Virginia, 51683, 40743, 72890, 13284, 276700, 7988, 6516, 1472
Manassas Park city, Virginia, 51685, 15625, 73528, 4895, 248300, 3246, 2833, 413
Martinsville city, Virginia, 51690, 13624, 29587, 7176, 89100, 3096, 1818, 1278
Newport News city, Virginia, 51700, 181323, 50077, 77175, 193100, 34694, 24946, 9748
Norfolk city, Virginia, 51710, 245452, 44480, 96121, 193400, 37853, 27943, 9910
Norton city, Virginia, 51720, 4007, 27731, 1917, 91600, 908, 368, 540
Petersburg city, Virginia, 51730, 32123, 31798, 16464, 111900, 5301, 3327, 1974
Poquoson city, Virginia, 51735, 12077, 83735, 4751, 307800, 3811, 2614, 1197
Portsmouth city, Virginia, 51740, 96135, 45676, 40987, 169800, 20129, 14789, 5340
Radford city, Virginia, 51750, 17057, 29912, 6507, 148600, 2395, 1455, 940
Richmond city, Virginia, 51760, 213735, 40758, 99449, 193700, 36875, 25979, 10896
Roanoke city, Virginia, 51770, 98736, 39930, 47321, 134400, 22688, 15559, 7129
Salem city, Virginia, 51775, 25165, 50068, 10851, 173100, 6651, 3909, 2742
Staunton city, Virginia, 51790, 24193, 40842, 11782, 165400, 5900, 3724, 2176
Suffolk city, Virginia, 51800, 86184, 65499, 34368, 235300, 21882, 16621, 5261
Virginia Beach city, Virginia, 51810, 448290, 66634, 180824, 259900, 105601, 83444, 22157
Waynesboro city, Virginia, 51820, 21150, 45643, 9868, 156200, 5215, 3646, 1569
Williamsburg city, Virginia, 51830, 14754, 48639, 5020, 320600, 2086, 1404, 682
Winchester city, Virginia, 51840, 27168, 45363, 11903, 216300, 4758, 3064, 1694
Adams County, Washington, 53001, 19081, 46564, 6271, 138400, 3788, 2174, 1614
Asotin County, Washington, 53003, 22040, 44394, 9855, 171900, 6259, 3403, 2856
Benton County, Washington, 53005, 184930, 60251, 71473, 184200, 45508, 29487, 16021
Chelan County, Washington, 53007, 74267, 51837, 35934, 246300, 17761, 10654, 7107
Clallam County, Washington, 53009, 72397, 47253, 35747, 217100, 21864, 11798, 10066
Clark County, Washington, 53011, 444506, 60756, 170937, 234800, 104383, 77470, 26913
Columbia County, Washington, 53013, 3989, 38581, 2126, 154800, 1243, 582, 661
Cowlitz County, Washington, 53015, 102338, 47452, 43503, 175300, 26091, 16795, 9296
Douglas County, Washington, 53017, 39599, 53636, 16164, 209700, 10207, 6617, 3590
Ferry County, Washington, 53019, 7652, 38125, 4396, 166000, 2209, 953, 1256
Franklin County, Washington, 53021, 86443, 56980, 26029, 166800, 16595, 11880, 4715
